Solves selected: 1127
Completed solves: 1096
Skipped scrambles: 2
Time stats:
Best ao1000: 1.024 (28.780/30.422)
Best ao500: 0.964 (27.827/30.909)
Best ao200: 0.928 (26.934/30.869)
Best ao100: 0.895 (26.673/31.461)
Best ao50: 0.801 (24.708/32.366)
Best ao25: 0.764 (24.608/32.873)
Best ao12: 0.657 (21.000/32.773)
Best ao5: 0.393 (16.000/38.773)
Best single: 0.045 (4.000/88.888)

Moves stats:
Best ao1000: 28.780 (1.024/30.422)
Best ao500: 27.827 (0.964/30.909)
Best ao200: 26.934 (0.928/30.869)
Best ao100: 26.489 (0.912/30.949)
Best ao50: 24.708 (0.801/32.366)
Best ao25: 23.521 (0.783/31.684)
Best ao12: 21.000 (0.657/32.773)
Best ao5: 16.000 (0.393/38.773)
Best single: 4.000 (0.045/88.888)

Tps stats:
Best ao1000: 30.422 (1.024/28.780)
Best ao500: 30.911 (0.967/27.907)
Best ao200: 31.439 (0.935/27.565)
Best ao100: 31.701 (0.922/27.265)
Best ao50: 32.481 (0.896/27.250)
Best ao25: 33.613 (0.783/24.826)
Best ao12: 35.604 (0.671/23.700)
Best ao5: 38.773 (0.393/16.000)
Best single: 88.888 (0.045/4.000)
Very detailed info:
Parent;Puzzle;Completed;Time;Moves;TPS;Scramble;Solution;Movetimes;Reconstruction
Parent: [Not finished] [M] 3x3 Single solve done at 2024.05.22 11:01:03;3x3;False;0.854;13;15.222;5 8 1/3 0 2/7 6 4;RDL2UR2DL2U2D;[0, 52, 82, 96, 172, 202, 231, 270, 292, 314, 516, 516, 554];https://dphdmn.github.io/betterLeaderboard/?r=eNo1ijsKACEUA68SrAV98d9bbiVsJd7%2FGhuLLTIkTLZb8%2BG7eMnpPKyQ9HAFHRYSIhgaKrLcjh5Fsiuj6ttUGC%2BSCU2eQzNZ1tPqj5LP%2BQB8EhSt
Parent: [Not finished] [M] 3x3 Single solve done at 2024.05.22 11:01:04;3x3;False;0.518;5;9.652;5 2 4/3 7 0/8 1 6;R2LUR;[0, 0, 75, 119, 141];https://dphdmn.github.io/betterLeaderboard/?r=eNqLVgoy8gkNUtJRsDQzNdJRUDJVMFIw0TdWMFcw0LdQMFQwA0pFG%2BgoAJG5qY6CoaElkDAxjI0FAFHiC0k%3D
Parent: [Not finished] [M] 3x3 Single solve done at 2024.05.22 11:01:06;3x3;False;0.995;20;20.100;1 6 5/0 2 7/3 8 4;UL2D2RURDLULDRU2LDRU;[0, 35, 73, 95, 134, 179, 193, 223, 283, 321, 343, 365, 449, 463, 553, 553, 575, 591, 651, 763];https://dphdmn.github.io/betterLeaderboard/?r=eNo9yjkOwCAQA8CvWNRIgb0IPSUVElWU%2F38jpkkze9hP2lOGrL3G3HOsLYeUIaWWkpEqAn4VCNqluGHMHgbqGU0zOmdVI62TzpfI4SYqldjZgj0zVix4uv80Bt7ZCyct9H0%2F%2F%2BUdaQ%3D%3D
Parent: [Not finished] [M] 3x3 Single solve done at 2024.05.22 11:01:09;3x3;False;1.773;31;17.484;0 5 8/1 2 6/7 3 4;LU2RD2LURUL2DRULD2R2ULULDRUDLRL;[0, 29, 51, 105, 127, 158, 171, 226, 261, 299, 360, 397, 442, 471, 487, 555, 585, 615, 637, 681, 698, 712, 728, 750, 795, 831, 877, 929, 937, 967, 1042];https://dphdmn.github.io/betterLeaderboard/?r=eNoVjjsOBSEIRbdCpjYZRb69pZWJ1eTtfxvv0hwRzkW%2FZ18%2Bi%2Fc9d%2FMCFh%2B%2BG%2Be5a5%2F9NBouIY2eTkrxDmKy12mSYPb1RpyNdMDrCrADGhVDj9kAqyqhTYM%2FE4oIA6VI4KqKrAZgozDRs8DUEqt8QHauSrHAE0pMTMPhZX0gK5FWj3fh3%2B8PUc8rNQ%3D%3D
Parent: [M] 3x3 Single solve done at 2024.05.22 11:01:10;3x3;True;0.793;23;29.003;3 2 4/7 8 0/5 6 1;URD2RUL2DRURDLULUR2DLUL;[0, 81, 103, 125, 164, 201, 231, 262, 291, 343, 373, 395, 449, 479, 509, 553, 599, 659, 689, 712, 750, 779, 793];https://dphdmn.github.io/betterLeaderboard/?r=eNoVjTsOwCAMQ68SMSM15ENg78iExIR6%2F2vUWV6s2E5uOfuVfZa8G2qddbbkKJVkMmuloiRkT9Agfpw6NXiXK41WqWWiiQPdUGHsRBNd8gKUGiIaiYmc2QQCcE44DJ9Q3RMDiIZuOF5E5mLq9%2F2r5CGY
Parent: [M] 3x3 Single solve done at 2024.05.22 11:01:12;3x3;True;0.690;19;27.536;2 8 1/0 7 3/5 4 6;ULDRDL2UR2DLURULDLU;[0, 46, 81, 136, 218, 232, 261, 291, 322, 360, 406, 420, 466, 501, 510, 591, 621, 646, 690];https://dphdmn.github.io/betterLeaderboard/?r=eNodjDsOxSAMBK%2ByokaKP%2BCQnpIKiSrK%2Fa%2Fx1q8Zeb1jv%2BWsueeys22us5nWKRV2d4%2BKYhjQS3DDr46GYPdKRWM5tELTMh2EGxHc2UO4MXqkKlSa%2FY84dWHblbGnF5bId%2FHI9%2F0AcEEcZA%3D%3D
Parent: [M] 3x3 Single solve done at 2024.05.22 11:01:16;3x3;True;1.821;44;24.162;5 7 0/1 8 3/2 4 6;UR2DLURLDLURURDL2DRURDL2U2R2DL2URDLDRU2LDRUL;[0, 29, 59, 89, 126, 172, 232, 314, 329, 352, 434, 485, 532, 561, 659, 771, 845, 883, 995, 1041, 1055, 1116, 1145, 1169, 1205, 1235, 1259, 1295, 1334, 1355, 1394, 1402, 1409, 1499, 1513, 1536, 1589, 1595, 1625, 1694, 1716, 1740, 1775, 1821];https://dphdmn.github.io/betterLeaderboard/?r=eNoljjkOxSAMRK9ipUYK3lj6lFRIVFHuf43v8S94DB6PzXudLc86ewFnP0ue%2F3UEhkBHRYB1FRLjJoUup071Zhqkt5BRC%2B%2Bt4c9CHmfEYWmBHu2iAWULoEE9nqbxtOHRD9cbF2qI9h5qWBhjaKE5Q3E1Bh2aGXPZUrdcVKFFk56VTCl2sGZKJ7RVSaLHJuisoGKm57c9s02Smeq5sVsFO%2BpD%2BPt%2BUAk%2FBw%3D%3D
Parent: [Not finished] [M] 3x3 Single solve done at 2024.05.22 11:01:18;3x3;False;1.142;26;22.767;6 7 5/8 2 4/3 1 0;R2D2LU2LD2RU2LD2RU2LR2DLUL;[0, 0, 30, 46, 106, 136, 150, 188, 232, 262, 292, 316, 338, 390, 420, 450, 488, 532, 562, 570, 652, 676, 698, 766, 810, 899];https://dphdmn.github.io/betterLeaderboard/?r=eNo9izsKwDAMQ69iMgca2%2FEne8dMhU6l979G5aWQPIye9LRLTtm37FOun8j2vVsnkfDo1JyC7EgSmocS04B7Ric8xZ%2FeiUdBC4aIMzFXAbywAGVYVQhdtZJClWeVrcpWZQtkbrg8sPAFG44rGSLXet8Pe8cj8Q%3D%3D
Parent: [Not finished] [M] 3x3 Single solve done at 2024.05.22 11:01:20;3x3;False;1.359;25;18.395;8 2 7/0 3 1/4 5 6;L2DR2UL2DR2UL2DRURUL2DRUR;[0, 60, 90, 163, 185, 246, 269, 292, 322, 365, 395, 426, 464, 493, 510, 592, 635, 726, 733, 810, 846, 876, 966, 990, 1042];https://dphdmn.github.io/betterLeaderboard/?r=eNpFjTEOxDAIBL%2Bycm0pNmBs%2BitTRUoV5f%2FfyBJFuoKhmF24yi6%2FQ84%2Fz%2BNbpaIvjVFRFgRza1D0zTDgdFercE5wumuGGRVzwoMIqVBJOMV7yITW3IhgY3R2R%2BZcaWfaqRQrxcpTaxLhifdRM7nvB0EpI7k%3D
Parent: [Not finished] [M] 3x3 Single solve done at 2024.05.22 11:01:22;3x3;False;1.190;20;16.806;6 2 8/1 4 7/3 5 0;RDLDR2ULURDLULDRLRUL;[0, 67, 98, 120, 187, 210, 232, 277, 307, 376, 411, 435, 479, 509, 577, 600, 698, 736, 749, 809];https://dphdmn.github.io/betterLeaderboard/?r=eNoVjDsKACEQQ68SrIWdjzrab2klWMne%2Fxobm8cLCTlpvfNdtuembOpce6YMbV1aRmow9EdREI%2BjQtgdyWiRMTp3xqCdyZRmbkQwulwEP4oq4ZWIkVHl4k6a3KP7Es5dFBZdxvf9QlAd7g%3D%3D
Parent: [Not finished] [M] 3x3 Single solve done at 2024.05.22 11:01:23;3x3;False;0.561;8;14.260;2 5 4/7 0 3/6 8 1;LUR2D2LU;[0, 38, 69, 128, 158, 188, 292, 330];https://dphdmn.github.io/betterLeaderboard/?r=eNoVyjEKACEMRNGrDNaCyUTd2G9pJViJ97%2FGZpvPwJuT5l58OXfK0MouGYloqOWBwEqHQ8NOgHlGH%2FFjDG1%2FPMLBMJN7P2O1DzM%3D
Parent: [Not finished] [M] 3x3 Single solve done at 2024.05.22 11:01:25;3x3;False;1.108;24;21.660;1 0 2/3 7 5/6 8 4;LUR2DLULDR2U2L2DR2UL2DRL;[0, 135, 172, 202, 240, 284, 322, 390, 426, 494, 494, 562, 562, 584, 606, 636, 674, 696, 764, 810, 824, 870, 906, 996];https://dphdmn.github.io/betterLeaderboard/?r=eNo1izEOwCAMA78SMSMVDASyd8xUianq%2F79RR2qX44ydO%2Fm%2BcPr288KGI56gpyyoqiVLqlIER5Mp41BZ0tndLGobxASXJdD5h9WzNDA2Y%2BxQwvqHofgROy1stQVmRKNNpa3K24WwSbPYmenzvG9ZIpg%3D
Parent: [Not finished] [M] 3x3 Single solve done at 2024.05.22 11:01:28;3x3;False;1.267;29;22.888;5 8 3/4 7 1/6 0 2;DLUR2D2LULUR2D2LURUL2RLDR2UL2;[0, 15, 82, 119, 142, 179, 201, 209, 247, 286, 291, 405, 435, 457, 495, 509, 555, 585, 615, 667, 705, 765, 847, 878, 899, 921, 975, 997, 1028];https://dphdmn.github.io/betterLeaderboard/?r=eNo1jjsOxCAQQ68yokYKTObbp6RCoopy%2F2usp9jm2cLG8LZnnc0Pr%2FPXfRbv9WyGtk7MEdGpKQXdl5DTvIwGVfaOTlM7BUNnAlLO4XjMQjlxIAxInMnABbkLikASTqunWi4Aq00zpF5lt3qiVsLxk0iUkzGVjiATwRwc3%2FcDDdEomw%3D%3D
Parent: [M] 3x3 Single solve done at 2024.05.22 11:01:29;3x3;True;0.960;23;23.958;8 2 3/6 4 7/5 0 1;RD2LULUR2DL2UR2DLDRUL2U;[0, 97, 106, 143, 188, 375, 443, 488, 518, 563, 577, 600, 645, 675, 698, 743, 758, 774, 840, 848, 894, 938, 960];https://dphdmn.github.io/betterLeaderboard/?r=eNodjTEOBSEIBa9CrEkWFUF6SysTq83e%2Fxr%2F8ZsJE4bwlrPavvuetnb7c52LqTC1HmMylUmN%2BmOk5M8goYrdK0zhTFUM0A5MtN0Hk6Zq6qgJgw5HbIIrUySWnQW2nrHnH3dlmioJ6AxodExh8n0%2FmsQhkA%3D%3D
Parent: [Not finished] [M] 3x3 Single solve done at 2024.05.22 11:01:34;3x3;False;2.253;44;19.529;7 5 2/3 8 6/4 1 0;R2D2LU2LDRURDLDRULRDLULDR2ULDLURULRD2LU2RDLU;[0, 29, 119, 127, 173, 209, 247, 269, 345, 389, 435, 487, 555, 593, 658, 749, 795, 914, 1095, 1155, 1199, 1253, 1283, 1335, 1365, 1395, 1425, 1469, 1499, 1507, 1589, 1605, 1627, 1679, 1755, 1777, 1829, 1837, 1875, 1905, 1965, 2003, 2025, 2078];https://dphdmn.github.io/betterLeaderboard/?r=eNodjzEOxSAMQ68Sda5UEhICe0emSp2qf%2F9rfDvLw7EjA9%2Fx2G37tX0%2F73OTG8cLYcB%2Ba%2BYC3eMUXWHrlCMlxK4uU8blotKQfe0UhqqEJZAdVsNojtEGVPcAJpR3KJ8IIqBiYXnEPCUdaS54Sx0tjVI1iqvKo5OT7KzRPoq16Vbkbeq1H42vCd6qozEd9b6RdLKaM%2BnM%2BsHspZP%2Bqv3FfmutPmSlc%2F5%2Bf1kJQAc%3D
Parent: [Not finished] [M] 3x3 Single solve done at 2024.05.22 11:01:35;3x3;False;0.952;20;21.008;5 8 7/4 2 1/6 3 0;R2D2LULDR2UL2URDRDL2;[0, 30, 68, 119, 172, 210, 262, 313, 352, 390, 397, 412, 442, 487, 539, 592, 599, 667, 698, 736];https://dphdmn.github.io/betterLeaderboard/?r=eNodjDEOBCEMA79iUSMtSSCQnpIKiWq1%2F%2F%2FGmSsyshM7b9o6dZ01t56lZ889l6YMlVJGRmoY6E%2BFQh6HofD2lgzjOAMiQXT9NwinMjGiXRU3Gj2jCm2tF4O2GWst9ILKnTsP%2Fuvm3%2FcD%2BX4daA%3D%3D
Parent: [Not finished] [M] 3x3 Single solve done at 2024.05.22 11:01:37;3x3;False;0.705;15;21.276;0 4 5/7 8 1/3 6 2;L2U2D2U2R2DLULD;[0, 0, 90, 90, 193, 193, 270, 270, 313, 359, 367, 381, 472, 540, 561];https://dphdmn.github.io/betterLeaderboard/?r=eNotiTEKACEMBL%2ByWAc0iTHaW1odWIn%2F%2F8alEHYGljlpyZYZfDLXXjMRhMUbIRVUWHZ0cFY0SLRTCLHx4KFP4uVJOa7aCDUPdSZUF4LVqNb43h92WRbY
Parent: [M] 3x3 Single solve done at 2024.05.22 11:01:39;3x3;True;0.494;18;36.437;0 2 5/4 1 6/7 3 8;LU2RD2LURUL2D2RULU;[0, 30, 52, 82, 126, 150, 172, 232, 254, 270, 300, 344, 366, 396, 412, 456, 478, 494];https://dphdmn.github.io/betterLeaderboard/?r=eNodjDsOwCAMQ69iMSMV8iF078iExFRx%2F2vUdPBTEj%2FlTWPJfGSsuYY8Qq6Uoc00MlKBwC9DRbsCis7uLewZl4zOVGmE81KDq%2BiBGxG%2FeWB2ftLTm7BKxfxM0Ynb9v4AjNQa4g%3D%3D
Parent: [M] 3x3 Single solve done at 2024.05.22 11:01:41;3x3;True;0.796;25;31.407;8 0 6/7 4 1/2 3 5;U2RD2LULDRURDL2URULD2RU2L;[0, 22, 51, 112, 134, 179, 218, 253, 286, 343, 382, 398, 427, 449, 472, 539, 553, 577, 630, 675, 705, 727, 750, 772, 796];https://dphdmn.github.io/betterLeaderboard/?r=eNoVjDsOwCAMQ68SMUcq%2BRHYGZmQmKre%2Fxo1i%2FUUv%2FgtR%2FfUddbcZ8%2BlZwN1H12FycRrMpVOldqT5CSPklGgeyuTKlMIkwhAzBE5cJaOCEP0hhUHWYdiA4UrJt3hed5%2FA8WVI1E0w27LYMp648oZuOWVc7Tv%2BwEogyOY
Parent: [M] 3x3 Single solve done at 2024.05.22 11:01:43;3x3;True;1.469;34;23.144;4 5 1/6 8 3/0 2 7;D2L2URUD2LURULR2DL2DRURDLU2LDR2UL2;[0, 21, 83, 83, 127, 157, 179, 291, 291, 359, 375, 389, 419, 479, 651, 735, 847, 877, 937, 975, 1035, 1087, 1125, 1185, 1207, 1253, 1276, 1305, 1335, 1365, 1389, 1409, 1439, 1469];https://dphdmn.github.io/betterLeaderboard/?r=eNotzTsOBSEIBdCtEOtJRsAP9pZUJlaT2f823sV5hUfkoj5pisteGxv0JdNlrr2mb%2FG5ZLuki0S5lItSoUp8NzLSO5NQR%2FZk5HyR6bdYOqhBH4gG%2F9GKo%2FYKDFXhIEZaRdoVgRVcsw6GBjHMWY8WL7JEzRZKjo7U788GNUdfz7y2Y%2FzEJR%2F12Mb7%2FgCtvTDB
Parent: [M] 3x3 Single solve done at 2024.05.22 11:01:45;3x3;True;0.592;20;33.783;1 2 8/4 7 6/5 3 0;D2R2ULULDRURD2L2URUL;[0, 0, 30, 60, 68, 104, 134, 158, 224, 284, 313, 352, 383, 404, 420, 442, 501, 524, 532, 592];https://dphdmn.github.io/betterLeaderboard/?r=eNoVjD0OxSAMg69iMSMVnKTl7YxMSExV73%2BN50jxpzg%2Ffsvk5llnzX325OLZZ5UKs2dYRekgxuV4cF8BQ9PubRUqk%2B7UqOjNBUuELKmOQ7CuFAsKmed559SXu2bRupDHYWl%2F%2FL4%2FuE4cyg%3D%3D
Parent: [M] 3x3 Single solve done at 2024.05.22 11:01:49;3x3;True;2.168;38;17.527;8 6 7/3 4 1/0 5 2;LDLDRUDLU2D2RURDLURUL2DRULD2U2D2RURUL2;[0, 44, 81, 134, 201, 232, 275, 337, 531, 531, 629, 823, 913, 944, 981, 1050, 1064, 1124, 1148, 1169, 1230, 1273, 1290, 1319, 1349, 1401, 1439, 1475, 1604, 1604, 1994, 1994, 2040, 2053, 2075, 2083, 2135, 2168];https://dphdmn.github.io/betterLeaderboard/?r=eNo9jTkKxTAMRK8iUhuizVvv0pXBVcj9r%2FE1Jvzm8TTSoOeaY461x9w6dO0VsvbUiObQL4v5SiQ1a010NSpUbyMnuZkyYfdwIvdETeLOQpTD1DRQcyKzaGaTD0V73Kol6gKg2k%2BXM4MlAhE99AaWaIgatloN7HCTfj6Cjp%2FidhxfpbD%2F2fufys5gNhCXyg0uBpfS3vcH%2FxQ3VQ%3D%3D
Parent: [M] 3x3 Single solve done at 2024.05.22 11:01:51;3x3;True;1.237;30;24.252;3 6 7/4 1 5/8 2 0;D2RU2RDL2RUDLUR2LD2RUL2DR2U2L2;[0, 0, 45, 97, 127, 165, 239, 269, 307, 329, 345, 435, 629, 801, 831, 869, 885, 907, 929, 981, 1013, 1057, 1071, 1095, 1131, 1147, 1155, 1193, 1215, 1237];https://dphdmn.github.io/betterLeaderboard/?r=eNodjDsOwDAIQ6%2BCOkcqmHz3jJkiZap6%2F2sUV0IPsA3PNbEP9lzR5jobi8LC3DhYuJIgoyDJ5VKl3VlMyt0FouE9miQqlySjJTEQNTb4CNSAa2gOToxlD1SuXS3gBHO98wnDg%2B7oYZiak4Vvtf3KiJgZz8wydSu%2FMpiEcYa39%2F0AAzcqpA%3D%3D
Parent: [M] 3x3 Single solve done at 2024.05.22 11:01:53;3x3;True;0.711;23;32.348;8 3 5/0 1 2/4 6 7;L2DRU2LD2R2U2LD2LU2RDLU;[0, 37, 59, 119, 149, 171, 217, 247, 277, 337, 337, 359, 381, 427, 457, 471, 517, 555, 577, 629, 659, 681, 711];https://dphdmn.github.io/betterLeaderboard/?r=eNo9izEOBCEMA79iUSPtxkmA6ympkKhW%2B%2F9vXHLFNRPFHj9lce7DNbn5O%2Btwz3VKhVJtVJQBhV83BLwMDT26546%2BV%2FinQiRhiS4VlMhpiR5Q%2FSNlHaEY4zVP5MJz4e6BXDSG11JuKXeR9%2F0CREAg7A%3D%3D
